# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
0.000000,381.474487,3.814721,0.730624
0.001926,381.474487,3.814721,0.730624
0.003851,381.474487,3.814721,0.730624
0.007703,381.474489,3.814721,0.730624
0.010521,381.474503,3.814721,0.730624
0.013338,381.474550,3.814721,0.730624
0.016156,381.474663,3.814722,0.730625
0.021792,381.475195,3.814725,0.730625
0.027427,381.476353,3.814731,0.730627
0.033063,381.478375,3.814742,0.730630
0.038698,381.481502,3.814759,0.730634
0.048239,381.490091,3.814805,0.730645
0.052146,381.494948,3.814831,0.730652
0.056052,381.500676,3.814862,0.730660
0.059959,381.507282,3.814897,0.730668
0.067772,381.523126,3.814982,0.730690
0.075586,381.542473,3.815086,0.730716
0.083399,381.565318,3.815209,0.730746
0.161531,381.984569,3.817462,0.731309
0.239664,382.745722,3.821552,0.732330
0.317796,383.841689,3.827441,0.733800
0.395929,385.265271,3.835091,0.735710
0.460028,386.672781,3.842654,0.737599
0.460339,386.680117,3.842694,0.737608
0.460649,386.687457,3.842733,0.737618
0.461270,386.702148,3.842812,0.737638
0.461891,386.716859,3.842891,0.737658
0.462511,386.731590,3.842970,0.737678
0.463858,386.763604,3.843142,0.737720
0.465204,386.795710,3.843315,0.737764
0.466550,386.827910,3.843488,0.737807
0.467898,386.860242,3.843662,0.737850
0.469245,386.892668,3.843836,0.737894
0.470593,386.925186,3.844011,0.737937
0.471932,386.957574,3.844185,0.737981
0.473270,386.990054,3.844359,0.738024
0.474609,387.022626,3.844534,0.738068
0.475937,387.055035,3.844708,0.738111
0.477265,387.087534,3.844883,0.738155
0.478593,387.120123,3.845058,0.738199
0.479914,387.152629,3.845233,0.738242
0.481235,387.185224,3.845408,0.738286
0.482556,387.217909,3.845584,0.738330
0.483877,387.250679,3.845760,0.738374
0.497086,387.583279,3.847547,0.738820
0.510295,387.924767,3.849382,0.739278
0.523504,388.275123,3.851265,0.739748
0.545002,388.864255,3.854430,0.740539
0.558657,389.250582,3.856506,0.741057
0.572312,389.646310,3.858633,0.741588
0.583143,389.966852,3.860355,0.742018
0.593973,390.293286,3.862109,0.742456
0.604803,390.625598,3.863895,0.742902
0.618902,391.066987,3.866267,0.743494
0.633000,391.518300,3.868692,0.744100
0.647099,391.979510,3.871170,0.744718
0.661198,392.450593,3.873702,0.745350
0.679167,393.065280,3.877005,0.746175
0.697137,393.695908,3.880393,0.747021
0.715106,394.342419,3.883868,0.747889
0.733075,395.004751,3.887427,0.748777
0.759974,396.025618,3.892912,0.750147
0.786872,397.081557,3.898586,0.751563
0.808438,397.953351,3.903271,0.752733
0.830005,398.847388,3.908075,0.753933
0.851571,399.763522,3.912998,0.755162
0.873138,400.701600,3.921855,0.756921
0.894704,401.661467,3.931906,0.758850
0.918788,402.758898,3.943398,0.761056
0.942871,403.883088,3.955169,0.763316
0.966954,405.033829,3.967219,0.765629
0.991037,406.210924,3.979545,0.767995
1.015120,407.414184,3.992144,0.770413
1.039203,408.643427,4.005016,0.772884
1.069050,410.202648,4.021343,0.776018
1.098896,411.801180,4.038082,0.779231
1.128743,413.438760,4.055229,0.782523
1.158590,415.115177,4.072783,0.785892
1.188437,416.830257,4.090743,0.789340
1.211575,418.186334,4.104942,0.792066
1.230701,419.324714,4.116863,0.794354
1.249828,420.478806,4.128947,0.796674
1.268954,421.648566,4.141196,0.799025
1.288081,422.833944,4.153609,0.801407
1.307207,424.034887,4.166184,0.803821
1.326334,425.251335,4.178922,0.806266
1.345460,426.483224,4.191821,0.808743
1.364587,427.730483,4.204882,0.811250
1.383713,428.993037,4.218102,0.813787
1.402840,430.270805,4.231482,0.816356
1.421966,431.563698,4.245020,0.818955
1.438165,432.670434,4.256609,0.821179
1.454363,433.787893,4.268310,0.823425
1.470562,434.916013,4.280123,0.825693
1.486760,436.054727,4.292047,0.827982
1.502959,437.203968,4.304081,0.830292
1.523640,438.686402,4.319604,0.833271
1.544321,440.185742,4.335304,0.836285
1.565001,441.701843,4.351179,0.839333
1.585682,443.234559,4.367229,0.842413
1.606363,444.783746,4.383451,0.845527
1.627044,446.349259,4.399844,0.848674
1.647725,447.930956,4.416406,0.851853
1.668406,449.528704,4.433137,0.855065
1.689086,451.142374,4.450034,0.858308
1.709767,452.771849,4.467096,0.861584
1.730448,454.417020,4.484323,0.864891
1.759129,456.724367,4.508484,0.869528
1.787809,459.061468,4.532957,0.874226
1.809563,460.853809,4.551725,0.877829
1.831316,462.663052,4.570670,0.881465
1.853070,464.489111,4.589791,0.885136
1.874823,466.331899,4.609087,0.888840
1.896577,468.191325,4.628558,0.892577
1.920584,470.262602,4.650247,0.896741
1.944591,472.353890,4.672145,0.900944
1.968599,474.465037,4.694252,0.905188
1.992606,476.595882,4.716564,0.909471
2.016613,478.746251,4.739081,0.913793
2.040621,480.915961,4.761801,0.918154
2.064628,483.104820,4.784721,0.922554
2.068820,483.488944,4.788743,0.923326
2.073012,483.873644,4.792772,0.924099
2.077203,484.258920,4.796806,0.924874
2.081395,484.644771,4.800846,0.925649
2.089778,485.418191,4.808945,0.927204
2.098162,486.193897,4.817068,0.928763
2.106545,486.971878,4.825214,0.930327
2.114928,487.752128,4.833384,0.931895
2.135612,489.686832,4.853643,0.935784
2.156296,491.635164,4.874044,0.939700
2.172975,493.216096,4.890599,0.942878
2.189654,494.805746,4.907244,0.946073
2.206333,496.404052,4.923981,0.949286
2.223012,498.010956,4.940807,0.952516
2.243905,500.035968,4.962012,0.956586
2.264799,502.074277,4.983355,0.960683
2.285693,504.125782,5.004837,0.964807
2.306586,506.190383,5.026456,0.968957
2.327480,508.267984,5.048211,0.973133
2.348374,510.358488,5.070101,0.977335
2.369267,512.461797,5.092126,0.981563
2.390161,514.577811,5.114283,0.985816
2.427145,518.354182,5.153826,0.993407
2.464129,522.169446,5.193777,1.001075
2.490434,524.906407,5.222436,1.006577
2.516739,527.662474,5.251296,1.012117
2.543044,530.437375,5.280353,1.017694
2.569349,533.230797,5.309603,1.023309
2.595654,536.042395,5.339044,1.028961
2.621959,538.871832,5.368672,1.034648
2.651959,542.120116,5.402686,1.041177
2.681959,545.390784,5.436934,1.047751
2.711959,548.683390,5.471412,1.054369
2.741959,551.997476,5.506114,1.061031
2.771959,555.332596,5.541037,1.067735
2.801959,558.688321,5.576176,1.074480
2.837797,562.723387,5.618428,1.082590
2.873634,566.786481,5.660974,1.090757
2.909471,570.876824,5.703805,1.098979
2.915379,571.553688,5.710893,1.100340
2.921287,572.231268,5.717988,1.101702
2.927195,572.909561,5.725090,1.103065
2.933103,573.588562,5.732200,1.104430
2.939011,574.268268,5.739318,1.105796
2.950826,575.629781,5.753574,1.108533
2.962642,576.994073,5.767860,1.111275
2.974458,578.361106,5.782175,1.114023
2.986274,579.730817,5.796517,1.116776
2.999503,581.267409,5.812607,1.119865
3.012731,582.807101,5.828730,1.122959
3.025960,584.349730,5.844883,1.126060
3.039189,585.895136,5.861066,1.129166
3.052418,587.443170,5.877275,1.132278
3.074493,590.031773,5.904381,1.137481
3.096567,592.626579,5.931552,1.142697
3.118642,595.226888,5.958781,1.147924
3.140716,597.831999,5.986060,1.153160
3.171866,601.514855,6.024624,1.160563
3.203015,605.203922,6.063253,1.167978
3.209245,605.942312,6.070985,1.169462
3.215475,606.680862,6.078718,1.170947
3.221705,607.419560,6.086454,1.172431
3.227934,608.158397,6.094190,1.173916
3.240394,609.636427,6.109667,1.176887
3.252854,611.114869,6.125148,1.179859
3.265314,612.593640,6.140633,1.182831
3.295951,616.230482,6.180661,1.182710
3.316315,618.647928,6.208609,1.177512
3.336678,621.065072,6.236552,1.172315
3.357041,623.481524,6.264488,1.167120
3.382611,626.514342,6.299550,1.160599
3.408180,629.544766,6.334584,1.154084
3.433749,632.571963,6.369580,1.147575
3.459319,635.595172,6.404531,1.141075
3.484888,638.613652,6.439426,1.134585
3.510458,641.626678,6.474259,1.128107
3.536027,644.633531,6.509020,1.121642
3.567009,648.267607,6.551033,1.113829
3.591538,651.136753,6.584202,1.107660
3.596444,651.709675,6.590825,1.106428
3.601350,652.282288,6.597445,1.105197
3.606256,652.854593,6.604062,1.103967
3.616067,653.998276,6.617283,1.101508
3.625879,655.140724,6.630491,1.099051
3.635691,656.281939,6.643684,1.096598
3.662149,659.353276,6.679191,1.089994
3.688608,662.415655,6.714594,1.083410
3.715067,665.469087,6.749894,1.076845
3.741525,668.513585,6.785090,1.070299
3.774757,672.324778,6.829150,1.062105
3.807989,676.121917,6.873048,1.053941
3.841220,679.905028,6.916783,1.045807
3.874452,683.674135,6.960357,1.037703
3.907683,687.429262,7.003769,1.029630
3.946912,691.844068,7.054807,1.020138
3.986140,696.239470,7.105621,1.010688
4.025369,700.615506,7.156211,1.001279
4.064597,704.972216,7.206578,0.991912
4.103826,709.309635,7.256721,0.982586
4.143054,713.627801,7.306642,0.973302
4.182283,717.926750,7.356341,0.964059
4.221511,722.206518,7.405818,0.954857
4.260740,726.467142,7.455074,0.945697
4.299968,730.708660,7.504109,0.936577
4.352342,736.341759,7.569231,0.924466
4.404715,741.940954,7.633962,0.912428
4.457089,747.506331,7.698302,0.900462
4.509462,753.037975,7.762251,0.888569
4.567485,759.126949,7.832644,0.875477
4.625507,765.174732,7.902561,0.862474
4.683530,771.181435,7.972002,0.849560
4.741552,777.147168,8.040970,0.836733
4.799574,783.072041,8.109466,0.823994
4.857597,788.956163,8.177491,0.811343
4.915619,794.799641,8.245045,0.798779
4.973642,800.602582,8.312131,0.786303
5.038675,807.058668,8.386768,0.772422
5.103709,813.464101,8.460820,0.758650
5.168742,819.819023,8.534287,0.744987
5.233776,826.123578,8.607172,0.731432
5.298809,832.377908,8.679476,0.717985
5.310375,833.484914,8.691621,0.715737
5.321940,834.590337,8.697519,0.714757
5.333505,835.694176,8.703408,0.713778
5.353802,837.627481,8.713722,0.712064
5.374098,839.555913,8.724011,0.710354
5.394394,841.479474,8.734274,0.708648
5.423153,844.196797,8.748771,0.706239
5.451913,846.904354,8.763217,0.703838
5.480672,849.602156,8.777610,0.701446
5.509432,852.290220,8.791952,0.699062
5.538191,854.968562,8.806241,0.696687
5.566950,857.637200,8.820479,0.694321
5.595710,860.296152,8.834665,0.691963
5.636697,864.068901,8.854794,0.688617
5.670015,867.121261,8.871079,0.685911
5.703332,870.160690,8.887295,0.683216
5.736650,873.187205,8.903442,0.680532
5.769967,876.200818,8.919520,0.677860
5.806829,879.519930,8.937228,0.674916
5.843690,882.823281,8.954852,0.671987
5.880551,886.110887,8.972393,0.669072
5.917412,889.382765,8.989849,0.666171
5.954273,892.638938,9.007221,0.663283
6.005610,897.147691,9.031276,0.659285
6.056946,901.626099,9.055170,0.655314
6.108283,906.074234,9.078902,0.651370
6.159620,910.492165,9.102472,0.647452
6.210956,914.879954,9.125882,0.643561
6.262293,919.237657,9.149131,0.639697
6.313629,923.565326,9.172221,0.635860
6.364966,927.863010,9.195150,0.632049
6.417303,932.213654,9.218361,0.628191
6.469641,936.533246,9.241407,0.624361
6.521978,940.821844,9.264288,0.620558
6.574315,945.079511,9.287004,0.616782
6.626652,949.306309,9.309555,0.613034
6.678990,953.502297,9.331941,0.609314
6.731327,957.667535,9.354164,0.605620
6.789274,962.243453,9.378577,0.601563
6.847222,966.781815,9.402790,0.597538
6.905169,971.282692,9.426804,0.593547
6.963117,975.746156,9.450617,0.589589
7.051665,982.494585,9.486622,0.583605
7.119151,987.579399,9.513750,0.579096
7.186637,992.613832,9.540610,0.574632
7.254122,997.597998,9.567202,0.570212
7.321608,1002.532011,9.593526,0.565837
7.406444,1008.663525,9.626239,0.560400
7.491279,1014.716160,9.658531,0.555033
7.576115,1020.690121,9.690404,0.549736
7.660951,1026.585609,9.721857,0.544508
7.758297,1033.254073,9.757435,0.538595
7.855643,1039.819787,9.792465,0.532773
7.952989,1046.283052,9.826948,0.527042
8.050336,1052.644164,9.860886,0.521401
8.118725,1057.052177,9.884401,0.517494
8.146439,1058.824133,9.880880,0.521931
8.168911,1060.254901,9.878038,0.525513
8.191383,1061.680252,9.875206,0.529082
8.213855,1063.100188,9.872385,0.532638
8.257939,1065.870050,9.866882,0.539573
8.290329,1067.891824,9.862866,0.544636
8.322718,1069.902367,9.858871,0.549670
8.355108,1071.901689,9.854899,0.554676
8.387498,1073.889804,9.850950,0.559654
8.423465,1076.084417,9.846590,0.565149
8.459432,1078.265248,9.842257,0.570610
8.495400,1080.432322,9.837952,0.576036
8.531367,1082.585660,9.833674,0.581428
8.567334,1084.725281,9.829423,0.586786
8.614868,1087.531950,9.823847,0.593813
8.662402,1090.314730,9.818318,0.600781
8.709936,1093.073649,9.812837,0.607690
8.757470,1095.808734,9.807404,0.614538
8.805003,1098.520006,9.802017,0.621327
8.858144,1101.522900,9.796051,0.628846
8.911284,1104.496083,9.790145,0.636291
8.964424,1107.439584,9.784297,0.643661
9.017565,1110.353435,9.778508,0.650957
9.070705,1113.237673,9.772778,0.658179
9.147585,1117.358054,9.764592,0.668496
9.224464,1121.416670,9.756529,0.678659
9.286180,1124.630127,9.750145,0.686705
9.347895,1127.803939,9.743839,0.694652
9.409610,1130.938170,9.737613,0.702500
9.471325,1134.032879,9.731465,0.710249
9.533041,1137.088122,9.725395,0.717899
9.614419,1141.056559,9.717511,0.727836
9.695797,1144.956578,9.709763,0.737601
9.777176,1148.788293,9.702150,0.747196
9.858554,1152.551822,9.694673,0.756620
9.939933,1156.247283,9.687332,0.765873
10.037757,1160.599641,9.678685,0.776771
10.135581,1164.854036,9.670233,0.787424
10.233405,1169.010679,9.661975,0.797832
10.331229,1173.069779,9.653911,0.807995
10.429054,1177.031534,9.646040,0.817915
10.547289,1181.690269,9.636785,0.829581
10.665525,1186.207408,9.627810,0.840891
10.783760,1190.583277,9.619117,0.851848
10.901996,1194.818202,9.610704,0.862452
11.020231,1198.912512,9.602570,0.872704
11.164425,1203.715880,9.593027,0.884732
11.308619,1208.311190,9.583897,0.896238
11.452813,1212.699021,9.575180,0.907225
11.597006,1216.879936,9.566874,0.917694
11.741200,1220.854492,9.558978,0.927646
11.885394,1224.623243,9.551491,0.937082
12.029588,1228.186747,9.544411,0.946005
12.173782,1231.545568,9.537738,0.954416
12.353320,1235.442451,9.529996,0.964173
12.493589,1238.267508,9.524384,0.971247
12.633859,1240.900563,9.519153,0.977840
12.774129,1243.342106,9.514302,0.983953
12.914398,1245.592617,9.509831,0.989589
13.054668,1247.652564,9.505739,0.994747
13.229103,1249.949084,9.501176,1.000497
13.403539,1251.952381,9.497196,1.005513
13.544679,1253.359163,9.494401,1.009036
13.685819,1254.574709,9.491987,1.012079
13.826959,1255.599219,9.489951,1.014645
13.968100,1256.432785,9.488295,1.016732
14.081681,1256.964921,9.487238,1.018064
14.173196,1257.303667,9.486565,1.018912
14.264712,1257.562015,9.486052,1.019559
14.356228,1257.739869,9.485698,1.020005
14.447743,1257.837109,9.485505,1.020248
14.512134,1257.857132,9.485465,1.020298
14.520000,1257.856835,9.485466,1.020297
14.527492,1257.855934,9.485468,1.020295
14.534983,1257.854700,9.485470,1.020292
14.549966,1257.851574,9.485476,1.020284
14.564949,1257.847135,9.485485,1.020273
14.579933,1257.841398,9.485497,1.020259
14.655359,1257.793258,9.485592,1.020138
14.730786,1257.714204,9.485749,1.019940
14.806213,1257.605604,9.485965,1.019668
14.881640,1257.468651,9.486237,1.019325
14.995909,1257.209449,9.486752,1.018676
15.110178,1256.890598,9.487386,1.017878
15.224447,1256.514686,9.488132,1.016937
15.338716,1256.083958,9.488988,1.015858
15.452985,1255.600386,9.489949,1.014647
15.645195,1254.672653,9.491792,1.012324
15.837404,1253.608092,9.493907,1.009659
16.029614,1252.413894,9.496279,1.006669
16.221823,1251.096974,9.498896,1.003371
16.414033,1249.664240,9.501742,0.999784
16.606242,1248.122656,9.504805,0.995924
16.929863,1245.300816,9.510411,0.988858
17.253484,1242.224517,9.516522,0.981155
17.577105,1238.927348,9.523073,0.972899
17.900726,1235.441466,9.529998,0.964171
18.224347,1231.796688,9.537239,0.955044
18.547968,1228.019867,9.544743,0.945587
19.048271,1221.975103,9.556752,0.930452
19.548574,1215.742057,9.569135,0.914844
20.048878,1209.375520,9.581783,0.898903
20.549181,1202.915773,9.594616,0.882728
21.049484,1196.391859,9.607577,0.866393
21.549788,1189.824508,9.620624,0.849948
22.050091,1183.228164,9.633729,0.833431
22.550394,1176.612789,9.646872,0.816867
23.156767,1168.578958,9.662833,0.796751
23.763141,1160.535214,9.678813,0.776610
