# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
0.000000,381.474487,1.447800,-1.129813
0.002226,381.474487,1.447800,-1.129813
0.004453,381.474487,1.447800,-1.129813
0.008906,381.474487,1.447800,-1.129813
0.009797,381.474488,1.447800,-1.129813
0.010687,381.474489,1.447800,-1.129813
0.012468,381.474497,1.447800,-1.129813
0.014249,381.474515,1.447800,-1.129813
0.016031,381.474550,1.447800,-1.129813
0.033843,381.477120,1.447802,-1.129814
0.037405,381.478445,1.447803,-1.129815
0.040967,381.480150,1.447805,-1.129815
0.044530,381.482282,1.447807,-1.129817
0.051654,381.487989,1.447812,-1.129820
0.057308,381.494054,1.447817,-1.129823
0.061949,381.500075,1.447823,-1.129826
0.066590,381.507022,1.447829,-1.129829
0.071231,381.514898,1.447836,-1.129834
0.075871,381.523700,1.447844,-1.129838
0.085153,381.544079,1.447863,-1.129849
0.094434,381.568149,1.447884,-1.129861
0.103716,381.595901,1.447909,-1.129876
0.112997,381.627326,1.447938,-1.129892
0.205812,382.141339,1.448402,-1.130159
0.298626,383.011416,1.449187,-1.130612
0.391441,384.226882,1.450284,-1.131244
0.484255,385.776583,1.451683,-1.132050
0.519787,386.455916,1.452296,-1.132404
0.530508,386.670113,1.452490,-1.132515
0.531463,386.689418,1.452507,-1.132525
0.532419,386.708757,1.452525,-1.132535
0.534329,386.747502,1.452560,-1.132555
0.536239,386.786381,1.452595,-1.132576
0.538150,386.825395,1.452630,-1.132596
0.547040,387.008727,1.452795,-1.132691
0.555931,387.194961,1.452964,-1.132788
0.564821,387.384092,1.453134,-1.132887
0.573712,387.576112,1.453308,-1.132986
0.586718,387.862214,1.453566,-1.133135
0.599724,388.154465,1.453830,-1.133287
0.612730,388.452844,1.454099,-1.133443
0.625736,388.757330,1.454374,-1.133601
0.638742,389.067901,1.454654,-1.133762
0.655987,389.489056,1.455034,-1.133982
0.673233,389.920825,1.455393,-1.134054
0.690479,390.363158,1.455737,-1.134010
0.707724,390.816005,1.456089,-1.133964
0.724970,391.279317,1.456449,-1.133918
0.741248,391.726208,1.456796,-1.133873
0.757527,392.182336,1.457150,-1.133828
0.773806,392.647657,1.457512,-1.133781
0.790084,393.122128,1.457880,-1.133734
0.807586,393.642393,1.458285,-1.133682
0.825087,394.173128,1.458697,-1.133629
0.842588,394.714279,1.459117,-1.133575
0.860089,395.265788,1.459546,-1.133519
0.906121,396.765383,1.460711,-1.133369
0.952152,398.335189,1.461930,-1.133213
0.998183,399.974114,1.463204,-1.133049
1.044215,401.681006,1.464530,-1.132878
1.090246,403.454549,1.465908,-1.132701
1.101754,403.908176,1.466260,-1.132655
1.113261,404.365858,1.466616,-1.132609
1.124769,404.827572,1.466974,-1.132563
1.136277,405.293298,1.467336,-1.132517
1.147785,405.763012,1.467701,-1.132470
1.157258,406.152645,1.468004,-1.132431
1.166731,406.544953,1.468309,-1.132392
1.176204,406.939926,1.468615,-1.132352
1.185677,407.337550,1.468924,-1.132312
1.195526,407.753766,1.469248,-1.132271
1.205375,408.172821,1.469573,-1.132229
1.215224,408.594704,1.469901,-1.132187
1.231355,409.291723,1.470443,-1.132117
1.247486,409.996229,1.470990,-1.132046
1.263616,410.708163,1.471543,-1.131975
1.279671,411.424053,1.472099,-1.131904
1.295726,412.147186,1.472661,-1.131831
1.311780,412.877505,1.473228,-1.131758
1.339468,414.153752,1.474220,-1.131631
1.367156,415.450907,1.475228,-1.131501
1.394844,416.768688,1.476251,-1.131369
1.422532,418.106804,1.477291,-1.131235
1.437983,418.862285,1.477878,-1.131160
1.453435,419.623958,1.478470,-1.131084
1.468886,420.391774,1.479066,-1.131007
1.484338,421.165681,1.479667,-1.130929
1.499601,421.936072,1.480266,-1.130852
1.514864,422.712308,1.480869,-1.130775
1.530127,423.494343,1.481476,-1.130697
1.545389,424.282131,1.482089,-1.130618
1.573462,425.745922,1.483226,-1.130471
1.601534,427.228725,1.484378,-1.130323
1.629606,428.730248,1.485544,-1.130173
1.657678,430.250198,1.486725,-1.130021
1.705653,432.889601,1.488776,-1.129757
1.717647,433.557556,1.489295,-1.129690
1.729640,434.228705,1.489816,-1.129623
1.741634,434.903028,1.490340,-1.129556
1.753628,435.580499,1.490866,-1.129488
1.765622,436.261097,1.491395,-1.129420
1.772521,436.654009,1.491700,-1.129381
1.779420,437.047943,1.492006,-1.129341
1.786319,437.442895,1.492313,-1.129302
1.793219,437.838862,1.492621,-1.129262
1.800326,438.247841,1.492938,-1.129221
1.807434,438.657888,1.493257,-1.129180
1.814541,439.068995,1.493576,-1.129139
1.842808,440.714379,1.494855,-1.128974
1.871075,442.376172,1.496146,-1.128808
1.899342,444.054075,1.497449,-1.128641
1.927609,445.747787,1.498765,-1.128471
1.935018,446.194345,1.499112,-1.128426
1.942428,446.641964,1.499460,-1.128382
1.949838,447.090637,1.499808,-1.128337
1.956458,447.492412,1.500120,-1.128297
1.963079,447.895020,1.500433,-1.128256
1.969699,448.298459,1.500747,-1.128216
1.985074,449.238544,1.501477,-1.128122
2.000449,450.183038,1.502211,-1.128028
2.015824,451.131893,1.502948,-1.127933
2.039991,452.632053,1.504113,-1.127783
2.064159,454.142688,1.505287,-1.127632
2.088326,455.663616,1.506469,-1.127480
2.098749,456.322753,1.506981,-1.127414
2.109173,456.983756,1.507494,-1.127348
2.119597,457.646612,1.508009,-1.127281
2.142369,459.101112,1.509139,-1.127136
2.165141,460.564233,1.510276,-1.126989
2.193079,462.370778,1.511679,-1.126809
2.221016,464.189808,1.513093,-1.126627
2.248954,466.021053,1.514515,-1.126444
2.276891,467.864242,1.515947,-1.126259
2.311206,470.144146,1.517719,-1.126031
2.337044,471.872171,1.519061,-1.125859
2.362882,473.609691,1.520411,-1.125685
2.388720,475.356496,1.521768,-1.125510
2.414559,477.112377,1.523132,-1.125335
2.448876,479.458148,1.524955,-1.125100
2.483193,481.819068,1.526789,-1.124864
2.517511,484.194632,1.528634,-1.124626
2.551828,486.584292,1.530491,-1.124387
2.586145,488.987442,1.532358,-1.124147
2.620463,491.403455,1.534235,-1.123905
2.654780,493.831704,1.536121,-1.123663
2.689097,496.271574,1.538017,-1.123419
2.729727,499.174398,1.540272,-1.123128
2.770356,502.091674,1.542538,-1.122837
2.810985,505.022420,1.544815,-1.122544
2.851614,507.965667,1.547102,-1.122249
2.892244,510.920449,1.549398,-1.121954
2.932873,513.885814,1.551701,-1.121657
2.971372,516.704645,1.553891,-1.121375
2.978935,517.259324,1.554322,-1.121320
2.986498,517.814283,1.554753,-1.121264
2.994061,518.369499,1.555185,-1.121209
3.001624,518.924949,1.555616,-1.121153
3.016750,520.036429,1.556480,-1.121042
3.031876,521.148550,1.557344,-1.120931
3.047002,522.261146,1.558208,-1.120820
3.069703,523.931474,1.559506,-1.120653
3.092404,525.601922,1.560803,-1.120486
3.115104,527.271845,1.562101,-1.120319
3.137805,528.940642,1.563397,-1.120152
3.172630,531.497245,1.565384,-1.119896
3.207456,534.047742,1.567365,-1.119641
3.232872,535.904178,1.568807,-1.119455
3.258288,537.755706,1.570246,-1.119270
3.283703,539.601762,1.571680,-1.119086
3.309119,541.441817,1.573109,-1.118902
3.340459,543.701722,1.574865,-1.118676
3.371800,545.950679,1.576612,-1.118451
3.403140,548.187677,1.578350,-1.118227
3.434480,550.411710,1.580078,-1.118005
3.481760,553.740168,1.582664,-1.117672
3.529040,557.033533,1.585223,-1.117342
3.576319,560.288599,1.587751,-1.117017
3.585361,560.906489,1.588231,-1.116955
3.594403,561.522844,1.588710,-1.116893
3.603445,562.137656,1.589188,-1.116832
3.612487,562.750922,1.589664,-1.116771
3.624840,563.586225,1.590313,-1.116687
3.637192,564.418661,1.590960,-1.116604
3.649545,565.248239,1.591605,-1.116521
3.661897,566.074972,1.592247,-1.116438
3.706370,569.028042,1.594541,-1.116143
3.750842,571.944768,1.596807,-1.115851
3.795315,574.825560,1.599045,-1.115563
3.839787,577.670811,1.601256,-1.115279
3.893724,581.074436,1.603900,-1.114938
3.947661,584.427028,1.606504,-1.114603
4.001598,587.729244,1.609070,-1.114273
4.055535,590.981725,1.611597,-1.113947
4.109472,594.185096,1.614086,-1.113627
4.187338,598.724279,1.617612,-1.113173
4.265205,603.164142,1.620451,-1.112228
4.343072,607.506386,1.620493,-1.109055
4.420938,611.752645,1.620534,-1.105952
4.498805,615.904490,1.620574,-1.102918
4.576672,619.963438,1.620613,-1.099953
4.654538,623.930946,1.620651,-1.097054
