# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
1.127146,436.377824,1.491486,-1.129408
1.138861,437.636838,1.492464,-1.129282
1.150577,438.910567,1.493453,-1.129155
1.162292,440.199008,1.494454,-1.129026
1.177041,441.841958,1.495731,-1.128862
1.191790,443.508212,1.497025,-1.128695
1.206538,445.197763,1.498338,-1.128526
1.221287,446.910605,1.499668,-1.128355
1.236036,448.646732,1.501017,-1.128181
1.250785,450.406139,1.502384,-1.128005
1.265533,452.188818,1.503769,-1.127827
1.280282,453.994765,1.505172,-1.127646
1.303855,456.929578,1.507452,-1.127353
1.327429,459.923794,1.509778,-1.127054
1.345033,462.198499,1.511546,-1.126826
1.362636,464.506307,1.513339,-1.126595
1.380240,466.847204,1.515157,-1.126361
1.397844,469.221179,1.517001,-1.126124
1.415448,471.628217,1.518872,-1.125883
1.433052,474.068303,1.520767,-1.125639
1.454356,477.065550,1.523096,-1.125339
1.475661,480.111149,1.525462,-1.125035
1.496966,483.205070,1.527866,-1.124725
1.518270,486.347272,1.530307,-1.124411
1.535320,488.896630,1.532287,-1.124156
1.538096,489.314614,1.532612,-1.124114
1.540872,489.733415,1.532937,-1.124072
1.543648,490.153032,1.533263,-1.124031
1.546424,490.573465,1.533590,-1.123988
1.549199,490.994714,1.533917,-1.123946
1.554578,491.813302,1.534553,-1.123864
1.559957,492.634950,1.535192,-1.123782
1.565336,493.459658,1.535832,-1.123700
1.570715,494.287422,1.536475,-1.123617
1.590523,497.362006,1.538864,-1.123310
1.604142,499.499877,1.540525,-1.123096
1.617761,501.657262,1.542201,-1.122880
1.631379,503.834133,1.543892,-1.122662
1.650893,506.987166,1.546342,-1.122347
1.670406,510.180060,1.548822,-1.122028
1.686432,512.832103,1.550883,-1.121763
1.702459,515.510917,1.552964,-1.121495
1.718485,518.216455,1.555066,-1.121224
1.734511,520.948665,1.557188,-1.120951
1.753039,524.140532,1.559668,-1.120632
1.771567,527.367902,1.562175,-1.120309
1.790095,530.630693,1.564710,-1.119983
1.808622,533.928827,1.567273,-1.119653
1.827150,537.262222,1.569862,-1.119319
1.856200,542.559480,1.573978,-1.118790
1.878475,546.679589,1.577179,-1.118378
1.900749,550.850199,1.580419,-1.117961
1.923024,555.071162,1.583698,-1.117539
1.945298,559.342324,1.587016,-1.117111
1.967573,563.663533,1.590373,-1.116679
1.991197,568.301105,1.593976,-1.116216
2.014821,572.994598,1.597623,-1.115746
2.038445,577.743789,1.601312,-1.115271
2.062069,582.548432,1.605045,-1.114791
2.095235,589.386686,1.610358,-1.114107
2.128401,596.332983,1.615754,-1.113412
2.161567,603.386585,1.620453,-1.112065
2.168200,604.810116,1.620467,-1.111025
2.174833,606.237902,1.620481,-1.109982
2.181466,607.669938,1.620495,-1.108935
2.194733,610.546728,1.620522,-1.106833
2.207999,613.440443,1.620550,-1.104719
2.221265,616.351034,1.620578,-1.102592
2.246950,622.033889,1.620633,-1.098440
2.272634,627.779446,1.620688,-1.094241
2.298319,633.587353,1.620744,-1.089998
2.334593,641.895519,1.620824,-1.083927
2.362467,648.363039,1.620886,-1.079201
2.390341,654.902507,1.620949,-1.074423
2.418215,661.513475,1.621013,-1.069592
2.446088,668.195506,1.621077,-1.064710
2.478709,676.105056,1.621153,-1.058930
2.511330,684.110586,1.621230,-1.053081
2.537001,690.477835,1.621291,-1.048428
2.562673,696.903976,1.621353,-1.043733
2.588344,703.388783,1.621415,-1.038994
2.626179,713.052697,1.621508,-1.031933
2.664014,722.842846,1.621603,-1.024780
2.701850,732.758541,1.621698,-1.017534
2.708156,734.423543,1.621714,-1.016318
2.714463,736.092011,1.621730,-1.015098
2.720769,737.763938,1.621746,-1.013877
2.733383,741.118146,1.621779,-1.011426
2.745996,744.486131,1.621811,-1.008965
2.758609,747.867857,1.621843,-1.006494
2.813164,762.652009,1.621986,-0.995691
2.867720,777.689415,1.622130,-0.984704
2.877490,780.408884,1.622157,-0.982717
2.887260,783.136348,1.622183,-0.980724
2.897030,785.871789,1.622209,-0.978725
2.912121,790.112562,1.622250,-0.975626
2.927212,794.372166,1.622291,-0.972514
2.942303,798.650473,1.622332,-0.969388
2.966064,805.424215,1.622397,-0.964438
2.989825,812.243359,1.622463,-0.959455
2.998611,814.776378,1.622487,-0.957605
3.004203,816.391561,1.622503,-0.956424
3.009795,818.009174,1.622518,-0.955242
3.015386,819.629178,1.622267,-0.954166
3.023272,821.917913,1.621213,-0.952925
3.031158,824.211190,1.620158,-0.951681
3.039044,826.508890,1.619100,-0.950435
3.060586,832.806234,1.616201,-0.947021
3.082127,839.132926,1.613289,-0.943591
3.103668,845.486544,1.610364,-0.940146
3.131695,853.790249,1.606541,-0.935643
3.159722,862.130252,1.602702,-0.931121
3.187749,870.500523,1.598849,-0.926583
3.215776,878.895462,1.594984,-0.922031
3.252071,889.794348,1.589967,-0.916121
3.288365,900.713512,1.584940,-0.910201
3.292733,902.028603,1.584335,-0.909488
3.297102,903.343793,1.583729,-0.908775
3.301470,904.659063,1.583124,-0.908062
3.307727,906.542837,1.582257,-0.907040
3.313983,908.426712,1.581389,-0.906019
3.320240,910.310659,1.580522,-0.904997
3.332310,913.945238,1.578849,-0.903027
3.344380,917.579750,1.577176,-0.901056
3.356450,921.213995,1.575503,-0.899085
3.387234,930.479719,1.571237,-0.894062
3.400708,934.533833,1.569371,-0.891863
3.409294,937.116245,1.568182,-0.890463
3.417879,939.698026,1.566994,-0.889063
3.426465,942.279140,1.565805,-0.887664
3.441739,946.869550,1.563692,-0.885175
3.457014,951.457581,1.561580,-0.882687
3.472289,956.043083,1.559469,-0.880201
3.515433,968.979456,1.553514,-0.873187
3.558578,981.890786,1.547570,-0.866186
3.601722,994.773854,1.541640,-0.859201
3.671537,1015.553622,1.532074,-0.847934
3.741351,1036.237272,1.522552,-0.836719
3.748961,1038.485316,1.521517,-0.835500
3.756571,1040.732014,1.519110,-0.836045
3.764181,1042.977350,1.513974,-0.840096
3.775000,1046.166978,1.506679,-0.845852
3.785818,1049.353770,1.499389,-0.851602
3.796637,1052.537674,1.492107,-0.857347
3.812703,1057.260624,1.481304,-0.865869
3.824783,1060.807224,1.473191,-0.872268
3.836862,1064.349990,1.465088,-0.878661
3.848942,1067.888850,1.456993,-0.885046
3.864507,1072.442960,1.446576,-0.893264
3.880072,1076.990324,1.436175,-0.901469
3.895637,1081.530779,1.425790,-0.909662
3.911202,1086.064220,1.415420,-0.917842
3.926767,1090.590587,1.405067,-0.926009
3.942332,1095.109873,1.394730,-0.934163
3.957897,1099.622108,1.384409,-0.942305
3.975059,1104.588968,1.373048,-0.951267
3.992220,1109.547336,1.361706,-0.960214
4.009381,1114.497245,1.350384,-0.969146
4.038213,1122.794370,1.331406,-0.984117
4.067045,1131.067862,1.312481,-0.999046
4.095877,1139.317866,1.293611,-1.013932
4.131097,1149.364183,1.270632,-1.032059
4.166317,1159.375925,1.247731,-1.050124
4.201537,1169.353346,1.224910,-1.068127
4.281543,1191.892435,1.173355,-1.108797
4.361549,1214.258740,1.122196,-1.149154
4.441555,1236.454926,1.071426,-1.189205
4.537530,1262.859698,1.011029,-1.236849
4.633504,1289.027604,0.951174,-1.284066
4.729479,1314.963451,0.891850,-1.330864
4.825454,1340.671458,0.833047,-1.377252
4.984693,1382.833561,0.736608,-1.453328
5.113124,1416.400825,0.659828,-1.513897
5.207055,1440.708869,0.604228,-1.557758
5.300985,1464.815012,0.549089,-1.601255
5.394916,1488.721382,0.494407,-1.644391
5.413703,1493.478868,0.483525,-1.652975
5.432489,1498.228460,0.474539,-1.657982
5.451275,1502.970167,0.468013,-1.658341
5.470061,1507.704005,0.461498,-1.658699
5.488847,1512.429989,0.454993,-1.659057
5.507634,1517.148139,0.448500,-1.659414
5.526420,1521.858474,0.442017,-1.659771
5.545206,1526.561012,0.435545,-1.660127
5.563992,1531.255771,0.429084,-1.660482
5.586945,1536.981310,0.421204,-1.660915
5.609898,1542.695288,0.413340,-1.661348
5.632851,1548.397733,0.405491,-1.661779
5.659658,1555.043090,0.396345,-1.662282
5.686465,1561.672797,0.387221,-1.662784
5.713272,1568.286905,0.378118,-1.663285
5.740079,1574.885463,0.369037,-1.663784
5.784724,1585.840511,0.353959,-1.664614
5.829370,1596.752758,0.338941,-1.665440
5.874015,1607.622409,0.323981,-1.666262
5.918660,1618.449669,0.309080,-1.667082
5.972257,1631.392218,0.291267,-1.668062
6.025854,1644.274350,0.273537,-1.669037
6.079451,1657.096381,0.255891,-1.670007
6.186645,1682.561899,0.220843,-1.671935
6.293838,1707.791109,0.186120,-1.673844
6.401032,1732.786507,0.151719,-1.675736
6.533434,1763.341318,0.109667,-1.678049
6.665836,1793.548122,0.068094,-1.680336
6.798238,1823.411835,0.026992,-1.682596
6.930640,1852.937511,-0.013643,-1.684831
7.063042,1882.130077,-0.053821,-1.687041
7.195444,1910.994303,-0.093546,-1.689226
7.412245,1957.558865,-0.157633,-1.692750
7.526714,1981.801342,-0.189509,-1.692768
7.534367,1983.413632,-0.190192,-1.691016
7.542020,1985.024877,-0.190875,-1.689265
7.549672,1986.635078,-0.191558,-1.687515
7.564977,1989.852349,-0.192922,-1.684019
7.580283,1993.065453,-0.194285,-1.680528
7.595588,1996.274395,-0.195645,-1.677041
7.610893,1999.479183,-0.197004,-1.673558
7.631957,2003.882895,-0.198872,-1.668773
7.653020,2008.278772,-0.200736,-1.663996
7.674083,2012.666833,-0.202596,-1.659228
7.695147,2017.047093,-0.204454,-1.654468
7.716210,2021.419566,-0.206308,-1.649717
7.744752,2027.332078,-0.208815,-1.643292
7.773294,2033.230351,-0.211316,-1.636883
7.801836,2039.114423,-0.213811,-1.630489
7.830378,2044.984335,-0.216300,-1.624111
7.858919,2050.840126,-0.218783,-1.617747
7.889808,2057.161454,-0.221463,-1.610878
7.920696,2063.466333,-0.224136,-1.604027
7.951584,2069.754808,-0.226803,-1.597194
7.982473,2076.026924,-0.229462,-1.590378
8.018746,2083.371716,-0.232577,-1.582397
8.055019,2090.694087,-0.235682,-1.574440
8.091293,2097.994111,-0.238777,-1.566508
8.127566,2105.271862,-0.241863,-1.558600
8.168682,2113.494373,-0.245350,-1.549665
8.209798,2121.688466,-0.248824,-1.540761
8.250914,2129.854235,-0.252287,-1.531887
8.314476,2142.422304,-0.257616,-1.518230
8.378038,2154.923300,-0.262916,-1.504646
8.441599,2167.357577,-0.268189,-1.491135
8.536396,2185.779234,-0.276000,-1.471117
8.631193,2204.054455,-0.283749,-1.451258
8.725990,2222.184341,-0.291437,-1.431558
8.842208,2244.214554,-0.300778,-1.407619
8.958426,2266.029984,-0.310028,-1.383913
9.074645,2287.632538,-0.319188,-1.360439
9.321408,2332.802331,-0.338342,-1.311355
9.568172,2377.037268,-0.357098,-1.263288
