# Time (s), X (m), Y (m), Z (m)
170.973208,610.869848,456.584809,1330.717571
172.303716,611.934788,454.714650,1310.514773
173.476388,612.924344,453.106369,1292.726465
174.649060,613.961638,451.535650,1274.954821
175.821731,615.046652,450.002509,1257.199769
176.777243,615.966004,448.781065,1242.744894
177.732755,616.917005,447.584563,1228.300964
178.688267,617.899633,446.412992,1213.867946
179.910596,619.202722,444.950593,1195.420509
181.132925,620.557487,443.528937,1176.990805
182.355254,621.963880,442.147989,1158.578766
187.919623,629.016888,436.374645,1074.983143
189.310715,630.946710,435.062664,1054.140598
190.701807,632.941224,433.800833,1033.320238
191.525509,634.149672,433.073402,1021.002081
192.349212,635.374258,432.355169,1008.691086
193.172914,636.611810,431.642068,996.387119
193.996616,637.859658,430.930678,984.090026
194.820318,639.116108,430.218830,971.799737
195.644020,640.379998,429.505042,959.516233
196.993753,642.465050,428.328587,939.402894
198.343486,644.565738,427.141397,919.307650
199.693218,646.680545,425.941553,899.230419
201.034834,648.795874,424.735449,879.291710
202.376450,650.924041,423.515473,859.370671
203.718065,653.064830,422.281373,839.467244
205.008518,655.135754,421.080867,820.339405
206.298970,657.216657,419.866477,801.227749
207.589422,659.304928,418.637138,782.132222
208.539596,660.845630,417.721753,768.082263
209.489770,662.387580,416.797160,754.041004
210.439944,663.930313,415.863177,740.008424
211.788754,666.121086,414.521015,720.103485
213.137563,668.312346,413.159513,700.215927
214.486373,670.503730,411.778542,680.345689
215.833210,672.691856,410.380107,660.521719
217.180048,674.879840,408.962184,640.714900
218.526886,677.067633,407.524770,620.925172
219.870353,679.249554,406.071681,601.201938
221.213820,681.428815,404.601200,581.495572
222.557287,683.599745,403.117995,561.805969
223.500146,685.115067,402.072172,547.997538
224.443006,686.622062,401.023563,534.197272
225.385865,688.120327,399.972504,520.405171
226.717120,690.220113,398.484979,500.945509
228.048375,692.300866,396.993937,481.502027
229.379630,694.362061,395.499824,462.074661
230.713794,696.407893,393.999586,442.620957
232.047958,698.433719,392.496594,423.183336
233.382122,700.439478,390.990915,403.761746
234.739160,702.458866,389.457401,384.023722
234.914509,702.718256,389.259179,381.474510
