# Time (s), X (m), Y (m), Z (m)
1.543648,11.830916,10.675875,490.153032
1.546424,11.875032,10.721842,490.573465
1.549199,11.919234,10.767912,490.994714
1.554578,12.005131,10.857477,491.813302
1.559957,12.091351,10.947427,492.634950
1.565336,12.177895,11.037764,493.459658
1.570715,12.264762,11.128485,494.287422
1.590523,12.587432,11.465896,497.362006
1.604142,12.811807,11.700914,499.499877
1.617761,13.038229,11.938411,501.657262
1.631379,13.266686,12.178394,503.834133
1.650893,13.597559,12.526596,506.987166
1.670406,13.932561,12.879932,510.180060
1.686432,14.210766,13.173972,512.832103
1.702459,14.491736,13.471484,515.510917
1.718485,14.775475,13.772463,518.216455
1.734511,15.061989,14.076899,520.948665
1.753039,15.396695,14.433152,524.140532
1.771567,15.735134,14.793994,527.367902
1.790095,16.077311,15.159410,530.630693
1.808622,16.423224,15.529390,533.928827
1.827150,16.772862,15.903933,537.262222
1.856200,17.328528,16.500370,542.559480
1.878475,17.760733,16.965301,546.679589
1.900749,18.198247,17.436834,550.850199
1.923024,18.641067,17.914955,555.071162
1.945298,19.089196,18.399647,559.342324
1.967573,19.542635,18.890888,563.663533
1.991197,20.029346,19.419034,568.301105
2.014821,20.522003,19.954515,572.994598
2.038445,21.020583,20.497318,577.743789
2.062069,21.525060,21.047428,582.548432
2.095235,22.243203,21.832009,589.386686
2.128401,22.972882,22.630878,596.332983
2.161567,23.714041,23.443964,603.386585
2.168200,23.863645,23.608282,604.810116
2.174833,24.013705,23.773166,606.237902
2.181466,24.164219,23.938615,607.669938
2.194733,24.466608,24.271208,610.546728
2.207999,24.770808,24.606057,613.440443
2.221265,25.076817,24.943159,616.351034
2.246950,25.674400,25.602183,622.033889
2.272634,26.278734,26.269579,627.779446
2.298319,26.889800,26.945305,633.587353
2.334593,27.764240,27.913762,641.895519
2.362467,28.445216,28.669113,648.363039
2.390341,29.134000,29.434129,654.902507
2.418215,29.830548,30.208773,661.513475
2.446088,30.534825,30.992999,668.195506
2.478709,31.368812,31.922875,676.105056
2.511330,32.213293,32.865727,684.110586
2.537001,32.885225,33.616813,690.477835
2.562673,33.563615,34.375884,696.903976
2.588344,34.248442,35.142922,703.388783
2.626179,35.269457,36.287879,713.052697
2.664014,36.304370,37.450029,722.842846
2.701850,37.353134,38.629306,732.758541
2.708156,37.529294,38.827539,734.423543
2.714463,37.705838,39.026246,736.092011
2.720769,37.882764,39.225425,737.763938
2.733383,38.237762,39.625201,741.118146
2.745996,38.594286,40.026864,744.486131
2.758609,38.952332,40.430408,747.867857
2.813164,40.518431,42.197420,762.652009
2.867720,42.112695,43.999245,777.689415
2.877490,42.401157,44.325574,780.408884
2.887260,42.690513,44.653007,783.136348
2.897030,42.980759,44.981541,785.871789
2.912121,43.430819,45.491150,790.112562
2.927212,43.882987,46.003363,794.372166
2.942303,44.337250,46.518165,798.650473
2.966064,45.056703,47.333927,805.424215
2.989825,45.781261,48.155996,812.243359
2.998611,46.050475,48.461570,814.776378
3.004203,46.222159,48.656479,816.391561
3.009795,46.394118,48.851728,818.009174
3.015386,46.566348,49.047310,819.629178
3.023272,46.809702,49.323706,821.917913
3.031158,47.053571,49.600740,824.211190
3.039044,47.297944,49.878397,826.508890
3.060586,47.967877,50.639825,832.806234
3.082127,48.641205,51.405456,839.132926
3.103668,49.317694,52.174994,845.486544
3.131695,50.202279,53.181685,853.790249
3.159722,51.091295,54.193849,862.130252
3.187749,51.984132,55.210737,870.500523
3.215776,52.880221,56.231653,878.895462
3.252071,54.044554,57.558578,889.794348
3.288365,55.212210,58.889636,900.713512
3.292733,55.352922,59.050057,902.028603
3.297102,55.493663,59.210515,903.343793
3.301470,55.634431,59.371005,904.659063
3.307727,55.836074,59.600906,906.542837
3.313983,56.037766,59.830868,908.426712
3.320240,56.239503,60.060885,910.310659
3.332310,56.628808,60.504779,913.945238
3.344380,57.018246,60.948842,917.579750
3.356450,57.407797,61.393049,921.213995
3.387234,58.401632,62.526375,930.479719
3.400708,58.836768,63.022607,934.533833
3.409294,59.114039,63.338814,937.116245
3.417879,59.391317,63.655031,939.698026
3.426465,59.668598,63.971254,942.279140
3.441739,60.161917,64.533862,946.869550
3.457014,60.655217,65.096457,951.457581
3.472289,61.148485,65.659019,956.043083
3.515433,62.541366,67.247583,968.979456
3.558578,63.933483,68.835275,981.890786
3.601722,65.324503,70.421686,994.773854
3.671537,67.572326,72.985128,1015.553622
3.741351,69.814988,75.542414,1036.237272
3.748961,70.059058,75.820702,1038.485316
3.756571,70.303045,76.098890,1040.732014
3.764181,70.546944,76.376973,1042.977350
3.775000,70.893517,76.772109,1046.166978
3.785818,71.239895,77.167009,1049.353770
3.796637,71.586071,77.561666,1052.537674
3.812703,72.099801,78.147316,1057.260624
3.824783,72.485753,78.587280,1060.807224
3.836862,72.871450,79.026935,1064.349990
3.848942,73.256887,79.466280,1067.888850
3.864507,73.753153,80.031928,1072.442960
3.880072,74.248968,80.597034,1076.990324
3.895637,74.744312,81.161572,1081.530779
3.911202,75.239162,81.725514,1086.064220
3.926767,75.733503,82.288841,1090.590587
3.942332,76.227331,82.851549,1095.109873
3.957897,76.720653,83.413644,1099.622108
3.975059,77.263995,84.032696,1104.588968
3.992220,77.806746,84.651034,1109.547336
4.009381,78.348906,85.268662,1114.497245
4.038213,79.258433,86.304704,1122.794370
4.067045,80.166297,87.338742,1131.067862
4.095877,81.072509,88.370788,1139.317866
4.131097,82.177292,89.628829,1149.364183
4.166317,83.279659,90.883962,1159.375925
4.201537,84.379632,92.136214,1169.353346
4.281543,86.869610,94.970330,1191.892435
4.361549,89.347618,97.790048,1214.258740
4.441555,91.813891,100.595660,1236.454926
4.537530,94.757187,103.942957,1262.859698
4.633504,97.684306,107.270836,1289.027604
4.729479,100.595678,110.579833,1314.963451
4.825454,103.491684,113.870416,1340.671458
4.984693,108.263727,119.290641,1382.833561
5.113124,112.083424,123.627422,1416.400825
5.207055,114.861076,126.780149,1440.708869
5.300985,117.625457,129.917038,1464.815012
5.394916,120.376741,133.038306,1488.721382
5.413703,120.925441,133.660703,1493.478868
5.432489,121.473627,134.282491,1498.228460
5.451275,122.021310,134.903686,1502.970167
5.470061,122.568495,135.524301,1507.704005
5.488847,123.115183,136.144335,1512.429989
5.507634,123.661371,136.763781,1517.148139
5.526420,124.207053,137.382626,1521.858474
5.545206,124.752223,138.000860,1526.561012
5.563992,125.296883,138.618482,1531.255771
5.586945,125.961658,139.372266,1536.981310
5.609898,126.625679,140.125153,1542.695288
5.632851,127.288954,140.877155,1548.397733
5.659658,128.062657,141.754308,1555.043090
5.686465,128.835351,142.630266,1561.672797
5.713272,129.607038,143.505029,1568.286905
5.740079,130.377720,144.378599,1574.885463
5.784724,131.659016,145.830829,1585.840511
5.829370,132.937552,147.279785,1596.752758
5.874015,134.213351,148.725499,1607.622409
5.918660,135.486432,150.167996,1618.449669
5.972257,137.011211,151.895504,1631.392218
6.025854,138.532127,153.618439,1644.274350
6.079451,140.049207,155.336837,1657.096381
6.186645,143.072019,158.760228,1682.561899
6.293838,146.079855,162.165942,1707.791109
6.401032,149.072934,165.554257,1732.786507
6.533434,152.749875,169.715828,1763.341318
6.665836,156.405078,173.851836,1793.548122
6.798238,160.038994,177.962848,1823.411835
6.930640,163.652099,182.049457,1852.937511
7.063042,167.244855,186.112242,1882.130077
7.195444,170.817712,190.151765,1910.994303
7.412245,176.626049,196.717208,1957.558865
7.526714,179.672427,200.159972,1981.801342
7.534367,179.875592,200.389555,1983.413632
7.542020,180.078696,200.619068,1985.024877
7.549672,180.281741,200.848512,1986.635078
7.564977,180.687654,201.307196,1989.852349
7.580283,181.093334,201.765609,1993.065453
7.595588,181.498783,202.223754,1996.274395
7.610893,181.903997,202.681627,1999.479183
7.631957,182.461270,203.311306,2003.882895
7.653020,183.018081,203.940451,2008.278772
7.674083,183.574426,204.569051,2012.666833
7.695147,184.130304,205.197110,2017.047093
7.716210,184.685723,205.824635,2021.419566
7.744752,185.437623,206.674127,2027.332078
7.773294,186.188710,207.522676,2033.230351
7.801836,186.938989,208.370289,2039.114423
7.830378,187.688453,209.216958,2044.984335
7.858919,188.437097,210.062675,2050.840126
7.889808,189.246364,210.976848,2057.161454
7.920696,190.054683,211.889922,2063.466333
7.951584,190.862066,212.801913,2069.754808
7.982473,191.668522,213.712833,2076.026924
8.018746,192.614399,214.781201,2083.371716
8.055019,193.559001,215.848094,2090.694087
8.091293,194.502327,216.913511,2097.994111
8.127566,195.444384,217.977460,2105.271862
8.168682,196.510694,219.181699,2113.494373
8.209798,197.575408,220.384097,2121.688466
8.250914,198.638538,221.584666,2129.854235
8.314476,200.278936,223.437058,2142.422304
8.378038,201.915594,225.285136,2154.923300
8.441599,203.548545,227.128942,2167.357577
8.536396,205.977166,229.871010,2185.779234
8.631193,208.397750,232.603833,2204.054455
8.725990,210.810403,235.327541,2222.184341
8.842208,213.757608,238.654518,2244.214554
8.958426,216.693261,241.968247,2266.029984
9.074645,219.617554,245.268965,2287.632538
9.321408,225.789733,252.235087,2332.802331
9.568172,231.913219,259.145631,2377.037268
9.814935,237.989787,266.002770,2420.354884
10.061699,244.021028,272.808445,2462.770799
10.227386,248.046036,277.350169,2490.752609
10.277249,249.253539,278.712672,2499.095897
10.303387,249.885816,279.426083,2503.455107
10.329525,250.517631,280.138921,2507.804513
10.355663,251.148989,280.851180,2512.144134
10.385216,251.862282,281.655807,2517.038956
10.408596,252.426150,282.291843,2520.902420
10.431975,252.989646,282.927448,2524.758091
10.455355,253.552765,283.562633,2528.605977
10.492134,254.437874,284.561045,2534.643577
10.521043,255.132906,285.345083,2539.375602
10.549951,255.827364,286.128497,2544.095788
10.578860,256.521256,286.911274,2548.804158
10.607768,257.214592,287.693403,2553.500732
10.647020,258.155113,288.754329,2559.858854
10.686271,259.094620,289.814062,2566.195318
10.725523,260.033109,290.872626,2572.510171
10.764775,260.970577,291.930048,2578.803461
10.809316,262.033156,293.128616,2585.918856
10.845973,262.906666,294.113926,2591.753981
10.882630,263.779306,295.098241,2597.570435
10.919288,264.651084,296.081556,2603.368255
10.959623,265.609357,297.162402,2609.726420
10.999959,266.566593,298.242055,2616.062118
11.040295,267.522793,299.320531,2622.375400
11.105011,269.054812,301.048446,2632.457994
11.158403,270.316762,302.471752,2640.733053
11.211795,271.576935,303.893036,2648.969177
11.265187,272.835347,305.312300,2657.166482
11.318579,274.092013,306.729553,2665.325081
11.372538,275.360263,308.159839,2673.531140
11.426497,276.626746,309.588116,2681.697903
11.480457,277.891475,311.014397,2689.825473
11.588375,280.415737,313.861022,2705.963613
11.696293,282.933139,316.699792,2721.946336
11.804211,285.443768,319.530801,2737.774469
11.824363,285.911847,320.058598,2740.713058
11.844516,286.379694,320.586131,2743.646288
11.864668,286.847308,321.113399,2746.574166
11.904973,287.781845,322.167145,2752.413900
11.945277,288.715461,323.219838,2758.232297
11.985582,289.648161,324.271479,2764.029401
12.054631,291.243942,326.070716,2773.911590
12.123681,292.837071,327.866907,2783.731601
12.192731,294.427571,329.660084,2793.489657
12.261781,296.015467,331.450277,2803.185966
12.376385,298.645267,334.415000,2819.143554
12.490990,301.268050,337.371663,2834.932517
12.605594,303.883916,340.320372,2850.553755
12.720198,306.492962,343.261240,2866.008148
12.863876,309.754415,346.937276,2885.148928
13.007553,313.005505,350.601382,2904.030671
13.151231,316.246398,354.253739,2922.654875
13.346079,320.625479,359.188374,2947.502788
13.540926,324.986518,364.102193,2971.883420
13.735774,329.329974,368.995707,2995.800842
13.930622,333.656263,373.869377,3019.258714
14.114602,337.725868,378.453414,3040.989609
14.147853,338.459802,379.280074,3044.873897
14.181105,339.193261,380.106184,3048.745014
14.214356,339.926251,380.931740,3052.602974
14.246901,340.643254,381.739244,3056.366379
14.279447,341.359834,382.546206,3060.117208
14.311993,342.075998,383.352625,3063.855477
14.351357,342.941636,384.327255,3068.360106
14.390720,343.806655,385.301107,3072.846411
14.422171,344.497324,386.078636,3076.417676
14.453621,345.187580,386.855688,3079.977274
14.485071,345.877417,387.632269,3083.525218
14.524240,346.735958,388.598781,3087.927594
14.563409,347.593843,389.564576,3092.311939
14.602578,348.451083,390.529653,3096.678279
14.641746,349.307695,391.494006,3101.026639
14.680915,350.163697,392.457627,3105.357045
14.720084,351.019102,393.420511,3109.669518
14.759252,351.873913,394.382662,3113.964085
14.804351,352.857390,395.489577,3118.886660
14.849449,353.840063,396.595546,3123.785570
14.894548,354.821927,397.700581,3128.660848
14.939646,355.802983,398.804688,3133.512532
14.984744,356.783237,399.907871,3138.340655
15.029843,357.762698,401.010131,3143.145253
15.087986,359.024328,402.429868,3149.304978
15.146130,360.284674,403.848075,3155.425736
15.204273,361.543745,405.264763,3161.507601
15.306355,363.751207,407.748378,3172.091585
15.408436,365.954797,410.227408,3182.556325
15.510517,368.154555,412.701907,3192.902199
15.640622,370.952703,415.849210,3205.916450
15.770727,373.744792,418.989316,3218.738947
15.900832,376.530942,422.122329,3231.370528
16.030937,379.311249,425.248348,3243.811949
16.153986,381.935481,428.198506,3255.404408
16.277035,384.554638,431.142596,3266.828085
16.400084,387.168786,434.080686,3278.083530
16.523133,389.778003,437.012848,3289.171308
16.646182,392.382365,439.939154,3300.091988
16.769231,394.981942,442.859681,3310.846128
16.918578,398.130784,446.396744,3323.675793
17.067925,401.272798,449.925544,3336.261912
17.217273,404.408099,453.446205,3348.605415
17.340369,406.987333,456.341994,3358.597469
17.463465,409.562151,459.232401,3368.425815
17.586561,412.132616,462.117494,3378.090954
17.759726,415.741337,466.167197,3391.411826
17.932892,419.341709,470.206682,3404.411903
18.106057,422.933905,474.236149,3417.092582
18.279222,426.518089,478.255775,3429.455111
18.473396,430.527772,482.751567,3442.940571
18.667570,434.527768,487.235404,3456.029141
18.861744,438.518265,491.707499,3468.722426
19.055918,442.499453,496.168064,3481.021978
19.291556,447.318540,501.565930,3495.421288
19.527193,452.124501,506.947449,3509.245588
19.762831,456.917624,512.312939,3522.497409
19.998469,461.698179,517.662699,3535.179193
20.234106,466.466420,522.997010,3547.293302
20.469744,471.222590,528.316137,3558.842019
20.705381,475.966912,533.620321,3569.827564
20.941019,480.699591,538.909786,3580.252098
21.176657,485.420814,544.184737,3590.117727
21.412294,490.130752,549.445366,3599.426507
21.607577,494.025640,553.794344,3606.720552
21.802860,497.912980,558.133709,3613.634645
21.998142,501.792860,562.463555,3620.169888
22.193425,505.665369,566.783982,3626.327369
22.423818,510.224765,571.869214,3633.107632
22.654211,514.774192,576.941659,3639.365328
22.684823,515.377933,577.614679,3640.157548
22.715435,515.981503,578.287476,3640.940577
22.746047,516.584906,578.960047,3641.714420
22.776660,517.188142,579.632392,3642.479082
22.837884,518.394122,580.976402,3643.980877
22.899108,519.599452,582.319505,3645.445996
22.960333,520.804137,583.661706,3646.874469
23.021557,522.008181,585.003013,3648.266325
23.115723,523.858797,587.064281,3650.335647
23.209888,525.707896,589.123518,3652.318506
23.304054,527.555474,591.180785,3654.214990
23.398219,529.401534,593.236138,3656.025185
23.492385,531.246089,595.289625,3657.749177
23.606298,533.475503,597.771328,3659.719635
23.720212,535.702806,600.250413,3661.564226
23.834126,537.928069,602.726936,3663.283093
23.948040,540.151370,605.200954,3664.876370
24.061954,542.372791,607.672534,3666.344170
24.204607,545.152131,610.764362,3668.005466
24.347261,547.928795,613.852673,3669.470248
24.489914,550.702920,616.937674,3670.738568
24.632568,553.474643,620.019580,3671.810411
24.775221,556.244098,623.098598,3672.685695
24.917875,559.011422,626.174918,3673.364270
25.076802,562.092087,629.599211,3673.888342
25.235729,565.170420,633.020558,3674.167600
25.337142,567.133560,635.202267,3674.217627
25.340000,567.188875,635.263739,3674.217589
25.348199,567.346681,635.438957,3674.216897
25.356397,567.503632,635.613077,3674.215742
25.372794,567.815844,635.959143,3674.212508
25.389191,568.124711,636.300909,3674.207438
25.405589,568.430309,636.638471,3674.200552
25.489865,569.951824,638.310224,3674.137148
25.574142,571.397553,639.884537,3674.028610
25.658419,572.774832,641.370847,3673.876926
25.742696,574.089999,642.777303,3673.683828
25.870512,575.978190,644.773560,3673.315287
25.998329,577.751890,646.622650,3672.859424
26.126145,579.424105,648.341316,3672.320035
26.253962,581.005679,649.943515,3671.700413
26.381778,582.505549,651.440761,3671.003451
26.595954,584.855731,653.740218,3669.669301
26.810130,587.025492,655.808131,3668.136401
27.024306,589.036964,657.673067,3666.415133
27.238482,590.907155,659.357015,3664.515451
27.452658,592.649759,660.877713,3662.447278
27.666834,594.275987,662.249715,3660.220600
28.026593,596.770724,664.252241,3656.151633
28.386351,598.999099,665.916113,3651.712543
28.746110,600.990583,667.280035,3646.951264
29.105869,602.770357,668.377233,3641.913846
29.465627,604.360798,669.237302,3636.643168
29.825386,605.782147,669.886878,3631.178065
30.369916,607.652621,670.522482,3622.611452
30.914446,609.235167,670.804046,3613.775771
31.458977,610.578925,670.795202,3604.747237
32.003507,611.725612,670.550149,3595.582796
32.548037,612.710356,670.113889,3586.324376
33.092568,613.562175,669.524015,3577.001858
33.639941,614.308571,668.807353,3567.587445
34.187314,614.964564,667.992117,3558.144857
34.734687,615.546196,667.099016,3548.684503
35.282060,616.066462,666.144803,3539.213623
35.829433,616.535846,665.142995,3529.737208
36.519159,617.067668,663.829393,3517.793485
37.208884,617.545268,662.474442,3505.850683
37.898610,617.978790,661.091197,3493.911557
38.588336,618.375831,659.689430,3481.977622
39.278061,618.742181,658.276581,3470.049857
39.967787,619.082240,656.858300,3458.128892
40.657512,619.399342,655.438862,3446.215077
42.026589,619.969963,652.629675,3422.588536
43.395667,620.473410,649.845679,3398.991742
44.764744,620.916976,647.096113,3375.424612
46.133821,621.304952,644.386352,3351.886939
47.559524,621.653064,641.610741,3327.407200
48.985227,621.945585,638.884020,3302.959585
50.410930,622.183687,636.207536,3278.543862
51.121933,622.282325,634.891791,3266.379459
51.832937,622.367654,633.588770,3254.222865
52.543940,622.439685,632.298470,3242.074098
53.253734,622.498361,631.023071,3229.953792
53.963528,622.543841,629.760383,3217.841247
54.673322,622.576146,628.510415,3205.736441
56.176968,622.601155,625.904473,3180.118755
57.680614,622.567258,623.355622,3154.535523
59.184260,622.474576,620.863836,3128.986558
61.288799,622.246329,617.471985,3093.284806
63.393337,621.903351,614.191628,3057.649324
63.919471,621.799771,613.388893,3048.750768
64.445606,621.689522,612.592777,3039.856381
64.971741,621.573401,611.802718,3030.966249
65.904086,621.356002,610.415613,3015.223052
66.836431,621.126591,609.043048,2999.493765
67.768776,620.887886,607.683123,2983.778543
69.182905,620.511922,605.641906,2959.969412
70.597035,620.122232,603.624398,2936.192524
72.011164,619.721306,601.628845,2912.447751
73.425187,619.310409,599.654513,2888.736729
74.839211,618.890113,597.700811,2865.057513
76.253234,618.460777,595.767472,2841.409924
77.677880,618.019304,593.840021,2817.616501
